WTA_Rank,Player_Name,UTR_ID,UTR_Name,UTR_Rating
150,Varvara Lepchenko,4006249,Varvara Lepchenko,11.54
151,Dominika Salkova,493615,Dominika Salkova,11.79
152,Lin Zhu,10839,Lin Zhu,11.97
153,Tamara Zidansek,2602428,Tamara Zidansek,11.84
154,Elvina Kalieva,107276,Elvina Kalieva,11.61
155,Maria Timofeeva,5305448,Maria Timofeeva,11.88
156,Maria Lourdes Carle,2257509,Maria Lourdes Carle,11.48
157,Alina Korneeva,814671,Alina Korneeva,12.02
158,Iryna Shymanovich,2853884,Iryna Shymanovich,11.49
159,Despina Papamichail,2660011,Despina Papamichail,11.38
160,Polina Iatcenko,1743690,Polina Iatcenko,11.86
161,Whitney Osuigwe,2096652,Whitney Osuigwe,11.57
162,Bianca Andreescu,398304,Bianca Andreescu,12.01
163,Emerson Jones,3679433,Emerson Jones,11.83
164,Alina Charaeva,261878,Alina Charaeva,11.52
165,Jessika Ponchet,42381,Jessika Ponchet,11.67
166,Nuria Brancaccio,208980,Nuria Brancaccio,11.79
167,Anhelina Kalinina,53198,Anhelina Kalinina,12.09
168,Aoi Ito,4163309,Aoi Ito,12.0
169,Elina Avanesyan,2334746,Elina Avanesyan,11.46
170,Ekaterine Gorgodze,4207838,Ekaterine Gorgodze,11.58
171,Teodora Kostovic,4380558,Teodora Kostovic,11.7
172,Anouk Koevermans,3257901,Anouk Koevermans,11.56
173,Carol Young Suh Lee,5698453,Carol Young Suh Lee,11.81
174,Elizabeth Mandlik,2608472,Elizabeth Mandlik,11.56
175,Louisa Chirico,4262849,Louisa Chirico,11.46
176,Guiomar Maristany Zuleta De Reales,230355,Guiomar Maristany Zuleta De Reales,11.63
177,Astra Sharma,4072361,Astra Sharma,11.66
178,Anastasia Gasanova,5600418,Anastasia Gasanova,11.73
179,Anca Alexia Todoni,3115247,Anca Alexia Todoni,11.94
180,Bernarda Pera,28900,Bernarda Pera,11.76
181,Harriet Dart,45507,Harriet Dart,11.8
182,Hanyu Guo,219811,Hanyu Guo,11.76
183,Carole Monnet,2700807,Carole Monnet,11.63
184,Olivia Gadecki,2690325,Olivia Gadecki,11.71
185,Anastasija Sevastova,3054725,Anastasija Sevastova,11.51
186,Anna Lena Friedsam,28150,Anna-Lena Friedsam,11.7
187,Julia Riera,2802396,Julia Riera,11.68
188,Yeon Woo Ku,4174992,Yeon Woo Ku,11.84
189,Elena Pridankina,4207404,Elena Pridankina,11.56
190,Gabriela Andrea Knutson,2889042,Gabriela Knutson,11.64
191,Lisa Pigato,274865,Lisa Pigato,11.56
192,Carson Branstine,2154440,Carson Branstine,11.81
193,Mary Stoiana,215092,Mary Stoiana,11.8
194,Lina Gjorcheska,34146,Lina Gjorcheska,11.63
195,Ana Sofia Sanchez,2606228,Ana Sofia Sanchez,11.27
196,Alice Rame,4173939,Alice Rame,11.45
197,Ena Shibahara,47233,Ena Shibahara,11.82
198,Cadence Brace,239646,Cadence Brace,11.65
199,Viktoria Hruncakova,5004519,Viktoria Kuzmova,11.56
200,Kayla Cross,2006461,Kayla Cross,11.53
